"variable","des","forecast_period","values","date","projection","meeting_month"
"61","December projection","Median 1",2020-12-31,1.9,2020-06-10,20200610,"juni"
"62","December projection","Median 1",2021-12-31,2,2020-06-10,20200610,"juni"
"63","December projection","Median 1",2022-12-31,2,2020-06-10,20200610,"juni"
"64","December projection","Median 1",NA,2,2020-06-10,20200610,"juni"
"65","December projection","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"66","December projection","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"67","December projection","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"68","December projection","Central Tendency 2",NA,2,2020-06-10,20200610,"juni"
"69","December projection","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"70","December projection","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"71","December projection","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"72","December projection","Range 3",NA,2,2020-06-10,20200610,"juni"
"73","Core PCE inflation 4","Median 1",2020-12-31,1,2020-06-10,20200610,"juni"
"74","Core PCE inflation 4","Median 1",2021-12-31,1.5,2020-06-10,20200610,"juni"
"75","Core PCE inflation 4","Median 1",2022-12-31,1.7,2020-06-10,20200610,"juni"
"76","Core PCE inflation 4","Median 1",NA,NA,2020-06-10,20200610,"juni"
"77","Core PCE inflation 4","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"78","Core PCE inflation 4","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"79","Core PCE inflation 4","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"80","Core PCE inflation 4","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"81","Core PCE inflation 4","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"82","Core PCE inflation 4","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"83","Core PCE inflation 4","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"84","Core PCE inflation 4","Range 3",NA,NA,2020-06-10,20200610,"juni"
"85","December projection","Median 1",2020-12-31,1.9,2020-06-10,20200610,"juni"
"86","December projection","Median 1",2021-12-31,2,2020-06-10,20200610,"juni"
"87","December projection","Median 1",2022-12-31,2,2020-06-10,20200610,"juni"
"88","December projection","Median 1",NA,NA,2020-06-10,20200610,"juni"
"89","December projection","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"90","December projection","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"91","December projection","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"92","December projection","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"93","December projection","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"94","December projection","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"95","December projection","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"96","December projection","Range 3",NA,NA,2020-06-10,20200610,"juni"
"97","Memo: Projected appropriate policy path","Median 1",2020-12-31,NA,2020-06-10,20200610,"juni"
"98","Memo: Projected appropriate policy path","Median 1",2021-12-31,NA,2020-06-10,20200610,"juni"
"99","Memo: Projected appropriate policy path","Median 1",2022-12-31,NA,2020-06-10,20200610,"juni"
"100","Memo: Projected appropriate policy path","Median 1",NA,NA,2020-06-10,20200610,"juni"
"101","Memo: Projected appropriate policy path","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"102","Memo: Projected appropriate policy path","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"103","Memo: Projected appropriate policy path","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"104","Memo: Projected appropriate policy path","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"105","Memo: Projected appropriate policy path","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"106","Memo: Projected appropriate policy path","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"107","Memo: Projected appropriate policy path","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"108","Memo: Projected appropriate policy path","Range 3",NA,NA,2020-06-10,20200610,"juni"
"109","Federal funds rate","Median 1",2020-12-31,0.1,2020-06-10,20200610,"juni"
"110","Federal funds rate","Median 1",2021-12-31,0.1,2020-06-10,20200610,"juni"
"111","Federal funds rate","Median 1",2022-12-31,0.1,2020-06-10,20200610,"juni"
"112","Federal funds rate","Median 1",NA,2.5,2020-06-10,20200610,"juni"
"113","Federal funds rate","Central Tendency 2",2020-12-31,0.1,2020-06-10,20200610,"juni"
"114","Federal funds rate","Central Tendency 2",2021-12-31,0.1,2020-06-10,20200610,"juni"
"115","Federal funds rate","Central Tendency 2",2022-12-31,0.1,2020-06-10,20200610,"juni"
"116","Federal funds rate","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"117","Federal funds rate","Range 3",2020-12-31,0.1,2020-06-10,20200610,"juni"
"118","Federal funds rate","Range 3",2021-12-31,0.1,2020-06-10,20200610,"juni"
"119","Federal funds rate","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"120","Federal funds rate","Range 3",NA,NA,2020-06-10,20200610,"juni"
"121","December projection","Median 1",2020-12-31,1.6,2020-06-10,20200610,"juni"
"122","December projection","Median 1",2021-12-31,1.9,2020-06-10,20200610,"juni"
"123","December projection","Median 1",2022-12-31,2.1,2020-06-10,20200610,"juni"
"124","December projection","Median 1",NA,2.5,2020-06-10,20200610,"juni"
"125","December projection","Central Tendency 2",2020-12-31,NA,2020-06-10,20200610,"juni"
"126","December projection","Central Tendency 2",2021-12-31,NA,2020-06-10,20200610,"juni"
"127","December projection","Central Tendency 2",2022-12-31,NA,2020-06-10,20200610,"juni"
"128","December projection","Central Tendency 2",NA,NA,2020-06-10,20200610,"juni"
"129","December projection","Range 3",2020-12-31,NA,2020-06-10,20200610,"juni"
"130","December projection","Range 3",2021-12-31,NA,2020-06-10,20200610,"juni"
"131","December projection","Range 3",2022-12-31,NA,2020-06-10,20200610,"juni"
"132","December projection","Range 3",NA,NA,2020-06-10,20200610,"juni"
"133","Change in real GDP","Median1",2020-12-31,-3.7,2020-09-16,20200916,"september"
"134","Change in real GDP","Median1",2021-12-31,4,2020-09-16,20200916,"september"
"135","Change in real GDP","Median1",2022-12-31,3,2020-09-16,20200916,"september"
"136","Change in real GDP","Median1",2023-12-31,2.5,2020-09-16,20200916,"september"
"137","Change in real GDP","Median1",NA,1.9,2020-09-16,20200916,"september"
"138","Change in real GDP","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"139","Change in real GDP","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"140","Change in real GDP","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"141","Change in real GDP","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"142","Change in real GDP","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"143","Change in real GDP","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"144","Change in real GDP","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"145","Change in real GDP","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"146","Change in real GDP","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"147","Change in real GDP","Range3",NA,NA,2020-09-16,20200916,"september"
"148","June projection","Median1",2020-12-31,-6.5,2020-09-16,20200916,"september"
"149","June projection","Median1",2021-12-31,5,2020-09-16,20200916,"september"
"150","June projection","Median1",2022-12-31,3.5,2020-09-16,20200916,"september"
"151","June projection","Median1",2023-12-31,NA,2020-09-16,20200916,"september"
"152","June projection","Median1",NA,1.8,2020-09-16,20200916,"september"
"153","June projection","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"154","June projection","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"155","June projection","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"156","June projection","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"157","June projection","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"158","June projection","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"159","June projection","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"160","June projection","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"161","June projection","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"162","June projection","Range3",NA,NA,2020-09-16,20200916,"september"
"163","Unemployment rate","Median1",2020-12-31,7.6,2020-09-16,20200916,"september"
"164","Unemployment rate","Median1",2021-12-31,5.5,2020-09-16,20200916,"september"
"165","Unemployment rate","Median1",2022-12-31,4.6,2020-09-16,20200916,"september"
"166","Unemployment rate","Median1",2023-12-31,4,2020-09-16,20200916,"september"
"167","Unemployment rate","Median1",NA,4.1,2020-09-16,20200916,"september"
"168","Unemployment rate","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"169","Unemployment rate","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"170","Unemployment rate","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"171","Unemployment rate","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"172","Unemployment rate","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"173","Unemployment rate","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"174","Unemployment rate","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"175","Unemployment rate","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"176","Unemployment rate","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"177","Unemployment rate","Range3",NA,NA,2020-09-16,20200916,"september"
"178","June projection","Median1",2020-12-31,9.3,2020-09-16,20200916,"september"
"179","June projection","Median1",2021-12-31,6.5,2020-09-16,20200916,"september"
"180","June projection","Median1",2022-12-31,5.5,2020-09-16,20200916,"september"
"181","June projection","Median1",2023-12-31,NA,2020-09-16,20200916,"september"
"182","June projection","Median1",NA,4.1,2020-09-16,20200916,"september"
"183","June projection","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"184","June projection","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"185","June projection","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"186","June projection","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"187","June projection","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"188","June projection","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"189","June projection","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"190","June projection","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"191","June projection","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"192","June projection","Range3",NA,NA,2020-09-16,20200916,"september"
"193","PCE inflation","Median1",2020-12-31,1.2,2020-09-16,20200916,"september"
"194","PCE inflation","Median1",2021-12-31,1.7,2020-09-16,20200916,"september"
"195","PCE inflation","Median1",2022-12-31,1.8,2020-09-16,20200916,"september"
"196","PCE inflation","Median1",2023-12-31,2,2020-09-16,20200916,"september"
"197","PCE inflation","Median1",NA,2,2020-09-16,20200916,"september"
"198","PCE inflation","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"199","PCE inflation","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"200","PCE inflation","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"201","PCE inflation","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"202","PCE inflation","Central Tendency2",NA,2,2020-09-16,20200916,"september"
"203","PCE inflation","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"204","PCE inflation","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"205","PCE inflation","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"206","PCE inflation","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"207","PCE inflation","Range3",NA,2,2020-09-16,20200916,"september"
"208","June projection","Median1",2020-12-31,0.8,2020-09-16,20200916,"september"
"209","June projection","Median1",2021-12-31,1.6,2020-09-16,20200916,"september"
"210","June projection","Median1",2022-12-31,1.7,2020-09-16,20200916,"september"
"211","June projection","Median1",2023-12-31,NA,2020-09-16,20200916,"september"
"212","June projection","Median1",NA,2,2020-09-16,20200916,"september"
"213","June projection","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"214","June projection","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"215","June projection","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"216","June projection","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"217","June projection","Central Tendency2",NA,2,2020-09-16,20200916,"september"
"218","June projection","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"219","June projection","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"220","June projection","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"221","June projection","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"222","June projection","Range3",NA,2,2020-09-16,20200916,"september"
"223","Core PCE inflation4","Median1",2020-12-31,1.5,2020-09-16,20200916,"september"
"224","Core PCE inflation4","Median1",2021-12-31,1.7,2020-09-16,20200916,"september"
"225","Core PCE inflation4","Median1",2022-12-31,1.8,2020-09-16,20200916,"september"
"226","Core PCE inflation4","Median1",2023-12-31,2,2020-09-16,20200916,"september"
"227","Core PCE inflation4","Median1",NA,NA,2020-09-16,20200916,"september"
"228","Core PCE inflation4","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"229","Core PCE inflation4","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"230","Core PCE inflation4","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"231","Core PCE inflation4","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"232","Core PCE inflation4","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"233","Core PCE inflation4","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"234","Core PCE inflation4","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"235","Core PCE inflation4","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"236","Core PCE inflation4","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"237","Core PCE inflation4","Range3",NA,NA,2020-09-16,20200916,"september"
"238","June projection","Median1",2020-12-31,1,2020-09-16,20200916,"september"
"239","June projection","Median1",2021-12-31,1.5,2020-09-16,20200916,"september"
"240","June projection","Median1",2022-12-31,1.7,2020-09-16,20200916,"september"
"241","June projection","Median1",2023-12-31,NA,2020-09-16,20200916,"september"
"242","June projection","Median1",NA,NA,2020-09-16,20200916,"september"
"243","June projection","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"244","June projection","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"245","June projection","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"246","June projection","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"247","June projection","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"248","June projection","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"249","June projection","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"250","June projection","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"251","June projection","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"252","June projection","Range3",NA,NA,2020-09-16,20200916,"september"
"253","Memo: Projected appropriate policy path","Median1",2020-12-31,NA,2020-09-16,20200916,"september"
"254","Memo: Projected appropriate policy path","Median1",2021-12-31,NA,2020-09-16,20200916,"september"
"255","Memo: Projected appropriate policy path","Median1",2022-12-31,NA,2020-09-16,20200916,"september"
"256","Memo: Projected appropriate policy path","Median1",2023-12-31,NA,2020-09-16,20200916,"september"
"257","Memo: Projected appropriate policy path","Median1",NA,NA,2020-09-16,20200916,"september"
"258","Memo: Projected appropriate policy path","Central Tendency2",2020-12-31,NA,2020-09-16,20200916,"september"
"259","Memo: Projected appropriate policy path","Central Tendency2",2021-12-31,NA,2020-09-16,20200916,"september"
"260","Memo: Projected appropriate policy path","Central Tendency2",2022-12-31,NA,2020-09-16,20200916,"september"
"261","Memo: Projected appropriate policy path","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"262","Memo: Projected appropriate policy path","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"263","Memo: Projected appropriate policy path","Range3",2020-12-31,NA,2020-09-16,20200916,"september"
"264","Memo: Projected appropriate policy path","Range3",2021-12-31,NA,2020-09-16,20200916,"september"
"265","Memo: Projected appropriate policy path","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"266","Memo: Projected appropriate policy path","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"267","Memo: Projected appropriate policy path","Range3",NA,NA,2020-09-16,20200916,"september"
"268","Federal funds rate","Median1",2020-12-31,0.1,2020-09-16,20200916,"september"
"269","Federal funds rate","Median1",2021-12-31,0.1,2020-09-16,20200916,"september"
"270","Federal funds rate","Median1",2022-12-31,0.1,2020-09-16,20200916,"september"
"271","Federal funds rate","Median1",2023-12-31,0.1,2020-09-16,20200916,"september"
"272","Federal funds rate","Median1",NA,2.5,2020-09-16,20200916,"september"
"273","Federal funds rate","Central Tendency2",2020-12-31,0.1,2020-09-16,20200916,"september"
"274","Federal funds rate","Central Tendency2",2021-12-31,0.1,2020-09-16,20200916,"september"
"275","Federal funds rate","Central Tendency2",2022-12-31,0.1,2020-09-16,20200916,"september"
"276","Federal funds rate","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"277","Federal funds rate","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"278","Federal funds rate","Range3",2020-12-31,0.1,2020-09-16,20200916,"september"
"279","Federal funds rate","Range3",2021-12-31,0.1,2020-09-16,20200916,"september"
"280","Federal funds rate","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"281","Federal funds rate","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"282","Federal funds rate","Range3",NA,NA,2020-09-16,20200916,"september"
"283","June projection","Median1",2020-12-31,0.1,2020-09-16,20200916,"september"
"284","June projection","Median1",2021-12-31,0.1,2020-09-16,20200916,"september"
"285","June projection","Median1",2022-12-31,0.1,2020-09-16,20200916,"september"
"286","June projection","Median1",2023-12-31,NA,2020-09-16,20200916,"september"
"287","June projection","Median1",NA,2.5,2020-09-16,20200916,"september"
"288","June projection","Central Tendency2",2020-12-31,0.1,2020-09-16,20200916,"september"
"289","June projection","Central Tendency2",2021-12-31,0.1,2020-09-16,20200916,"september"
"290","June projection","Central Tendency2",2022-12-31,0.1,2020-09-16,20200916,"september"
"291","June projection","Central Tendency2",2023-12-31,NA,2020-09-16,20200916,"september"
"292","June projection","Central Tendency2",NA,NA,2020-09-16,20200916,"september"
"293","June projection","Range3",2020-12-31,0.1,2020-09-16,20200916,"september"
"294","June projection","Range3",2021-12-31,0.1,2020-09-16,20200916,"september"
"295","June projection","Range3",2022-12-31,NA,2020-09-16,20200916,"september"
"296","June projection","Range3",2023-12-31,NA,2020-09-16,20200916,"september"
"297","June projection","Range3",NA,NA,2020-09-16,20200916,"september"
"298","Change in real GDP","Median 1",2020-12-31,-2.4,2020-12-16,20201216,"december"
"299","Change in real GDP","Median 1",2021-12-31,4.2,2020-12-16,20201216,"december"
"300","Change in real GDP","Median 1",2022-12-31,3.2,2020-12-16,20201216,"december"
"301","Change in real GDP","Median 1",2023-12-31,2.4,2020-12-16,20201216,"december"
"302","Change in real GDP","Median 1",NA,1.8,2020-12-16,20201216,"december"
"303","Change in real GDP","Central Tendency 2",2020-12-31,NA,2020-12-16,20201216,"december"
"304","Change in real GDP","Central Tendency 2",2021-12-31,NA,2020-12-16,20201216,"december"
"305","Change in real GDP","Central Tendency 2",2022-12-31,NA,2020-12-16,20201216,"december"
"306","Change in real GDP","Central Tendency 2",2023-12-31,NA,2020-12-16,20201216,"december"
"307","Change in real GDP","Central Tendency 2",NA,NA,2020-12-16,20201216,"december"
"308","Change in real GDP","Range 3",2020-12-31,NA,2020-12-16,20201216,"december"
"309","Change in real GDP","Range 3",2021-12-31,NA,2020-12-16,20201216,"december"
"310","Change in real GDP","Range 3",2022-12-31,NA,2020-12-16,20201216,"december"
"311","Change in real GDP","Range 3",2023-12-31,NA,2020-12-16,20201216,"december"
"312","Change in real GDP","Range 3",NA,NA,2020-12-16,20201216,"december"
"313","September projection","Median 1",2020-12-31,-3.7,2020-12-16,20201216,"december"
"314","September projection","Median 1",2021-12-31,4,2020-12-16,20201216,"december"
"315","September projection","Median 1",2022-12-31,3,2020-12-16,20201216,"december"
"316","September projection","Median 1",2023-12-31,2.5,2020-12-16,20201216,"december"
"317","September projection","Median 1",NA,1.9,2020-12-16,20201216,"december"
"318","September projection","Central Tendency 2",2020-12-31,NA,2020-12-16,20201216,"december"
"319","September projection","Central Tendency 2",2021-12-31,NA,2020-12-16,20201216,"december"
"320","September projection","Central Tendency 2",2022-12-31,NA,2020-12-16,20201216,"december"
"321","September projection","Central Tendency 2",2023-12-31,NA,2020-12-16,20201216,"december"
"322","September projection","Central Tendency 2",NA,NA,2020-12-16,20201216,"december"
"323","September projection","Range 3",2020-12-31,NA,2020-12-16,20201216,"december"
"324","September projection","Range 3",2021-12-31,NA,2020-12-16,20201216,"december"
"325","September projection","Range 3",2022-12-31,NA,2020-12-16,20201216,"december"
"326","September projection","Range 3",2023-12-31,NA,2020-12-16,20201216,"december"
"327","September projection","Range 3",NA,NA,2020-12-16,20201216,"december"
"328","Unemployment rate","Median 1",2020-12-31,6.7,2020-12-16,20201216,"december"
"329","Unemployment rate","Median 1",2021-12-31,5,2020-12-16,20201216,"december"
"330","Unemployment rate","Median 1",2022-12-31,4.2,2020-12-16,20201216,"december"
"331","Unemployment rate","Median 1",2023-12-31,3.7,2020-12-16,20201216,"december"
"332","Unemployment rate","Median 1",NA,4.1,2020-12-16,20201216,"december"
"333","Unemployment rate","Central Tendency 2",2020-12-31,NA,2020-12-16,20201216,"december"
"334","Unemployment rate","Central Tendency 2",2021-12-31,NA,2020-12-16,20201216,"december"
"335","Unemployment rate","Central Tendency 2",2022-12-31,NA,2020-12-16,20201216,"december"
"336","Unemployment rate","Central Tendency 2",2023-12-31,NA,2020-12-16,20201216,"december"
"337","Unemployment rate","Central Tendency 2",NA,NA,2020-12-16,20201216,"december"
"338","Unemployment rate","Range 3",2020-12-31,NA,2020-12-16,20201216,"december"
"339","Unemployment rate","Range 3",2021-12-31,NA,2020-12-16,20201216,"december"
"340","Unemployment rate","Range 3",2022-12-31,NA,2020-12-16,20201216,"december"
"341","Unemployment rate","Range 3",2023-12-31,NA,2020-12-16,20201216,"december"
"342","Unemployment rate","Range 3",NA,NA,2020-12-16,20201216,"december"
"343","September projection","Median 1",2020-12-31,7.6,2020-12-16,20201216,"december"
"344","September projection","Median 1",2021-12-31,5.5,2020-12-16,20201216,"december"
