"variable","des","forecast_period","values","date","projection","meeting_month","projection_year"
"184","June projection","Median1",2020-12-31,"1.0",2020-09-16,20200916,"september","2020"
"185","June projection","Median1",2021-12-31,"1.5",2020-09-16,20200916,"september","2020"
"186","June projection","Median1",2022-12-31,"1.7",2020-09-16,20200916,"september","2020"
"187","June projection","Median1",2023-12-31,"",2020-09-16,20200916,"september","2020"
"188","June projection","CentralTendency2",2020-12-31,"0.9–1.1",2020-09-16,20200916,"september","2020"
"189","June projection","CentralTendency2",2021-12-31,"1.4–1.7",2020-09-16,20200916,"september","2020"
"190","June projection","CentralTendency2",2022-12-31,"1.6–1.8",2020-09-16,20200916,"september","2020"
"191","June projection","CentralTendency2",2023-12-31,"",2020-09-16,20200916,"september","2020"
"192","June projection","Range3",2020-12-31,"0.7–1.3",2020-09-16,20200916,"september","2020"
"193","June projection","Range3",2021-12-31,"1.2–2.0",2020-09-16,20200916,"september","2020"
"194","June projection","Range3",2022-12-31,"1.2–2.2",2020-09-16,20200916,"september","2020"
"195","June projection","Range3",2023-12-31,"",2020-09-16,20200916,"september","2020"
"196","Memo: Projected appropriate policy path","Median1",2020-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"197","Memo: Projected appropriate policy path","Median1",2021-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"198","Memo: Projected appropriate policy path","Median1",2022-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"199","Memo: Projected appropriate policy path","Median1",2023-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"200","Memo: Projected appropriate policy path","CentralTendency2",2020-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"201","Memo: Projected appropriate policy path","CentralTendency2",2021-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"202","Memo: Projected appropriate policy path","CentralTendency2",2022-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"203","Memo: Projected appropriate policy path","CentralTendency2",2023-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"204","Memo: Projected appropriate policy path","Range3",2020-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"205","Memo: Projected appropriate policy path","Range3",2021-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"206","Memo: Projected appropriate policy path","Range3",2022-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"207","Memo: Projected appropriate policy path","Range3",2023-12-31,"Memo: Projected appropriate policy path",2020-09-16,20200916,"september","2020"
"208","Federal funds rate","Median1",2020-12-31,".1",2020-09-16,20200916,"september","2020"
"209","Federal funds rate","Median1",2021-12-31,".1",2020-09-16,20200916,"september","2020"
"210","Federal funds rate","Median1",2022-12-31,".1",2020-09-16,20200916,"september","2020"
"211","Federal funds rate","Median1",2023-12-31,".1",2020-09-16,20200916,"september","2020"
"212","Federal funds rate","CentralTendency2",2020-12-31,"0.1",2020-09-16,20200916,"september","2020"
"213","Federal funds rate","CentralTendency2",2021-12-31,"0.1",2020-09-16,20200916,"september","2020"
"214","Federal funds rate","CentralTendency2",2022-12-31,"0.1",2020-09-16,20200916,"september","2020"
"215","Federal funds rate","CentralTendency2",2023-12-31,"0.1–0.4",2020-09-16,20200916,"september","2020"
"216","Federal funds rate","Range3",2020-12-31,"0.1",2020-09-16,20200916,"september","2020"
"217","Federal funds rate","Range3",2021-12-31,"0.1",2020-09-16,20200916,"september","2020"
"218","Federal funds rate","Range3",2022-12-31,"0.1–0.6",2020-09-16,20200916,"september","2020"
"219","Federal funds rate","Range3",2023-12-31,"0.1–1.4",2020-09-16,20200916,"september","2020"
"220","June projection","Median1",2020-12-31,".1",2020-09-16,20200916,"september","2020"
"221","June projection","Median1",2021-12-31,".1",2020-09-16,20200916,"september","2020"
"222","June projection","Median1",2022-12-31,".1",2020-09-16,20200916,"september","2020"
"223","June projection","Median1",2023-12-31,"",2020-09-16,20200916,"september","2020"
"224","June projection","CentralTendency2",2020-12-31,"0.1",2020-09-16,20200916,"september","2020"
"225","June projection","CentralTendency2",2021-12-31,"0.1",2020-09-16,20200916,"september","2020"
"226","June projection","CentralTendency2",2022-12-31,"0.1",2020-09-16,20200916,"september","2020"
"227","June projection","CentralTendency2",2023-12-31,"",2020-09-16,20200916,"september","2020"
"228","June projection","Range3",2020-12-31,"0.1",2020-09-16,20200916,"september","2020"
"229","June projection","Range3",2021-12-31,"0.1",2020-09-16,20200916,"september","2020"
"230","June projection","Range3",2022-12-31,"0.1–1.1",2020-09-16,20200916,"september","2020"
"231","June projection","Range3",2023-12-31,"",2020-09-16,20200916,"september","2020"
"232","Change in real GDP","Median1",2020-12-31,"-2.4",2020-12-16,20201216,"december","2020"
"233","Change in real GDP","Median1",2021-12-31,"4.2",2020-12-16,20201216,"december","2020"
"234","Change in real GDP","Median1",2022-12-31,"3.2",2020-12-16,20201216,"december","2020"
"235","Change in real GDP","Median1",2023-12-31,"2.4",2020-12-16,20201216,"december","2020"
"236","Change in real GDP","CentralTendency2",2020-12-31,"-2.5--2.2",2020-12-16,20201216,"december","2020"
"237","Change in real GDP","CentralTendency2",2021-12-31,"3.7-5.0",2020-12-16,20201216,"december","2020"
"238","Change in real GDP","CentralTendency2",2022-12-31,"3.0-3.5",2020-12-16,20201216,"december","2020"
"239","Change in real GDP","CentralTendency2",2023-12-31,"2.2-2.7",2020-12-16,20201216,"december","2020"
"240","Change in real GDP","Range3",2020-12-31,"-3.3--1.0",2020-12-16,20201216,"december","2020"
"241","Change in real GDP","Range3",2021-12-31,"0.5-5.5",2020-12-16,20201216,"december","2020"
"242","Change in real GDP","Range3",2022-12-31,"2.5-4.0",2020-12-16,20201216,"december","2020"
"243","Change in real GDP","Range3",2023-12-31,"2.0-3.5",2020-12-16,20201216,"december","2020"
"244","September projection","Median1",2020-12-31,"-3.7",2020-12-16,20201216,"december","2020"
"245","September projection","Median1",2021-12-31,"4.0",2020-12-16,20201216,"december","2020"
"246","September projection","Median1",2022-12-31,"3.0",2020-12-16,20201216,"december","2020"
"247","September projection","Median1",2023-12-31,"2.5",2020-12-16,20201216,"december","2020"
"248","September projection","CentralTendency2",2020-12-31,"-4.0--3.0",2020-12-16,20201216,"december","2020"
"249","September projection","CentralTendency2",2021-12-31,"3.6-4.7",2020-12-16,20201216,"december","2020"
"250","September projection","CentralTendency2",2022-12-31,"2.5-3.3",2020-12-16,20201216,"december","2020"
"251","September projection","CentralTendency2",2023-12-31,"2.4-3.0",2020-12-16,20201216,"december","2020"
"252","September projection","Range3",2020-12-31,"-5.5-1.0",2020-12-16,20201216,"december","2020"
"253","September projection","Range3",2021-12-31,"0.0-5.5",2020-12-16,20201216,"december","2020"
"254","September projection","Range3",2022-12-31,"2.0-4.5",2020-12-16,20201216,"december","2020"
"255","September projection","Range3",2023-12-31,"2.0-4.0",2020-12-16,20201216,"december","2020"
"256","Unemployment rate","Median1",2020-12-31,"6.7",2020-12-16,20201216,"december","2020"
"257","Unemployment rate","Median1",2021-12-31,"5.0",2020-12-16,20201216,"december","2020"
"258","Unemployment rate","Median1",2022-12-31,"4.2",2020-12-16,20201216,"december","2020"
"259","Unemployment rate","Median1",2023-12-31,"3.7",2020-12-16,20201216,"december","2020"
"260","Unemployment rate","CentralTendency2",2020-12-31,"6.7-6.8",2020-12-16,20201216,"december","2020"
"261","Unemployment rate","CentralTendency2",2021-12-31,"4.7-5.4",2020-12-16,20201216,"december","2020"
"262","Unemployment rate","CentralTendency2",2022-12-31,"3.8-4.6",2020-12-16,20201216,"december","2020"
"263","Unemployment rate","CentralTendency2",2023-12-31,"3.5-4.3",2020-12-16,20201216,"december","2020"
"264","Unemployment rate","Range3",2020-12-31,"6.6-6.9",2020-12-16,20201216,"december","2020"
"265","Unemployment rate","Range3",2021-12-31,"4.0-6.8",2020-12-16,20201216,"december","2020"
"266","Unemployment rate","Range3",2022-12-31,"3.5-5.8",2020-12-16,20201216,"december","2020"
"267","Unemployment rate","Range3",2023-12-31,"3.3-5.0",2020-12-16,20201216,"december","2020"
"268","September projection","Median1",2020-12-31,"7.6",2020-12-16,20201216,"december","2020"
"269","September projection","Median1",2021-12-31,"5.5",2020-12-16,20201216,"december","2020"
"270","September projection","Median1",2022-12-31,"4.6",2020-12-16,20201216,"december","2020"
"271","September projection","Median1",2023-12-31,"4.0",2020-12-16,20201216,"december","2020"
"272","September projection","CentralTendency2",2020-12-31,"7.0-8.0",2020-12-16,20201216,"december","2020"
"273","September projection","CentralTendency2",2021-12-31,"5.0-6.2",2020-12-16,20201216,"december","2020"
"274","September projection","CentralTendency2",2022-12-31,"4.0-5.0",2020-12-16,20201216,"december","2020"
"275","September projection","CentralTendency2",2023-12-31,"3.5-4.4",2020-12-16,20201216,"december","2020"
"276","September projection","Range3",2020-12-31,"6.5-8.0",2020-12-16,20201216,"december","2020"
"277","September projection","Range3",2021-12-31,"4.0-8.0",2020-12-16,20201216,"december","2020"
"278","September projection","Range3",2022-12-31,"3.5-7.5",2020-12-16,20201216,"december","2020"
"279","September projection","Range3",2023-12-31,"3.5-6.0",2020-12-16,20201216,"december","2020"
"280","PCE inflation","Median1",2020-12-31,"1.2",2020-12-16,20201216,"december","2020"
"281","PCE inflation","Median1",2021-12-31,"1.8",2020-12-16,20201216,"december","2020"
"282","PCE inflation","Median1",2022-12-31,"1.9",2020-12-16,20201216,"december","2020"
"283","PCE inflation","Median1",2023-12-31,"2.0",2020-12-16,20201216,"december","2020"
"284","PCE inflation","CentralTendency2",2020-12-31,"1.2",2020-12-16,20201216,"december","2020"
"285","PCE inflation","CentralTendency2",2021-12-31,"1.7-1.9",2020-12-16,20201216,"december","2020"
"286","PCE inflation","CentralTendency2",2022-12-31,"1.8-2.0",2020-12-16,20201216,"december","2020"
"287","PCE inflation","CentralTendency2",2023-12-31,"1.9-2.1",2020-12-16,20201216,"december","2020"
"288","PCE inflation","Range3",2020-12-31,"1.1-1.4",2020-12-16,20201216,"december","2020"
