"date","LineDescription","rate"
"208",2012-01-12,"Personal consumption expenditures (PCE)",NA
"209",2012-01-12,"PCE excluding food and energy",NA
"210",2012-01-12,"Gross domestic product (GDP)",1.6
"211",2012-01-13,"Unemployment rate",8.5
"212",2012-01-13,"Federal funds rate",0.12
"213",2012-01-13,"Personal consumption expenditures (PCE)",NA
"214",2012-01-13,"PCE excluding food and energy",NA
"215",2012-01-13,"Gross domestic product (GDP)",1.6
"216",2012-01-14,"Unemployment rate",8.5
"217",2012-01-14,"Federal funds rate",0.12
"218",2012-01-14,"Personal consumption expenditures (PCE)",NA
"219",2012-01-14,"PCE excluding food and energy",NA
"220",2012-01-14,"Gross domestic product (GDP)",1.6
"221",2012-01-15,"Unemployment rate",8.5
"222",2012-01-15,"Federal funds rate",0.12
"223",2012-01-15,"Personal consumption expenditures (PCE)",NA
"224",2012-01-15,"PCE excluding food and energy",NA
"225",2012-01-15,"Gross domestic product (GDP)",1.6
"226",2012-01-16,"Unemployment rate",8.5
"227",2012-01-16,"Federal funds rate",0.12
"228",2012-01-16,"Personal consumption expenditures (PCE)",NA
"229",2012-01-16,"PCE excluding food and energy",NA
"230",2012-01-16,"Gross domestic product (GDP)",1.6
"231",2012-01-17,"Unemployment rate",8.5
"232",2012-01-17,"Federal funds rate",0.12
"233",2012-01-17,"Personal consumption expenditures (PCE)",NA
"234",2012-01-17,"PCE excluding food and energy",NA
"235",2012-01-17,"Gross domestic product (GDP)",1.6
"236",2012-01-18,"Unemployment rate",8.5
"237",2012-01-18,"Federal funds rate",0.12
"238",2012-01-18,"Personal consumption expenditures (PCE)",NA
"239",2012-01-18,"PCE excluding food and energy",NA
"240",2012-01-18,"Gross domestic product (GDP)",1.6
"241",2012-01-19,"Unemployment rate",8.5
"242",2012-01-19,"Federal funds rate",0.12
"243",2012-01-19,"Personal consumption expenditures (PCE)",NA
"244",2012-01-19,"PCE excluding food and energy",NA
"245",2012-01-19,"Gross domestic product (GDP)",1.6
"246",2012-01-20,"Unemployment rate",8.5
"247",2012-01-20,"Federal funds rate",0.12
"248",2012-01-20,"Personal consumption expenditures (PCE)",NA
"249",2012-01-20,"PCE excluding food and energy",NA
"250",2012-01-20,"Gross domestic product (GDP)",1.6
"251",2012-01-21,"Unemployment rate",8.5
"252",2012-01-21,"Federal funds rate",0.12
"253",2012-01-21,"Personal consumption expenditures (PCE)",NA
"254",2012-01-21,"PCE excluding food and energy",NA
"255",2012-01-21,"Gross domestic product (GDP)",1.6
"256",2012-01-22,"Unemployment rate",8.5
"257",2012-01-22,"Federal funds rate",0.12
"258",2012-01-22,"Personal consumption expenditures (PCE)",NA
"259",2012-01-22,"PCE excluding food and energy",NA
"260",2012-01-22,"Gross domestic product (GDP)",1.6
"261",2012-01-23,"Unemployment rate",8.5
"262",2012-01-23,"Federal funds rate",0.12
"263",2012-01-23,"Personal consumption expenditures (PCE)",NA
"264",2012-01-23,"PCE excluding food and energy",NA
"265",2012-01-23,"Gross domestic product (GDP)",1.6
"266",2012-01-24,"Unemployment rate",8.5
"267",2012-01-24,"Federal funds rate",0.12
"268",2012-01-24,"Personal consumption expenditures (PCE)",NA
"269",2012-01-24,"PCE excluding food and energy",NA
"270",2012-01-24,"Gross domestic product (GDP)",1.6
"271",2012-01-25,"Unemployment rate",8.5
"272",2012-01-25,"Federal funds rate",0.12
"273",2012-01-25,"Personal consumption expenditures (PCE)",NA
"274",2012-01-25,"PCE excluding food and energy",NA
"275",2012-01-25,"Gross domestic product (GDP)",1.6
"276",2012-01-26,"Unemployment rate",8.5
"277",2012-01-26,"Federal funds rate",0.12
"278",2012-01-26,"Personal consumption expenditures (PCE)",NA
"279",2012-01-26,"PCE excluding food and energy",NA
"280",2012-01-26,"Gross domestic product (GDP)",1.6
"281",2012-01-27,"Unemployment rate",8.5
"282",2012-01-27,"Federal funds rate",0.12
"283",2012-01-27,"Personal consumption expenditures (PCE)",NA
"284",2012-01-27,"PCE excluding food and energy",NA
"285",2012-01-27,"Gross domestic product (GDP)",1.6
"286",2012-01-28,"Unemployment rate",8.5
"287",2012-01-28,"Federal funds rate",0.12
"288",2012-01-28,"Personal consumption expenditures (PCE)",NA
"289",2012-01-28,"PCE excluding food and energy",NA
"290",2012-01-28,"Gross domestic product (GDP)",1.6
"291",2012-01-29,"Unemployment rate",8.5
"292",2012-01-29,"Federal funds rate",0.12
"293",2012-01-29,"Personal consumption expenditures (PCE)",NA
"294",2012-01-29,"PCE excluding food and energy",NA
"295",2012-01-29,"Gross domestic product (GDP)",1.6
"296",2012-01-30,"Unemployment rate",8.5
"297",2012-01-30,"Federal funds rate",0.12
"298",2012-01-30,"Personal consumption expenditures (PCE)",NA
"299",2012-01-30,"PCE excluding food and energy",NA
"300",2012-01-30,"Gross domestic product (GDP)",1.6
"301",2012-01-31,"Unemployment rate",8.3
"302",2012-01-31,"Federal funds rate",0.12
"303",2012-01-31,"Personal consumption expenditures (PCE)",2.63
"304",2012-01-31,"PCE excluding food and energy",2.13
"305",2012-01-31,"Gross domestic product (GDP)",1.6
"306",2012-02-01,"Unemployment rate",8.3
"307",2012-02-01,"Federal funds rate",0.12
"308",2012-02-01,"Personal consumption expenditures (PCE)",2.63
"309",2012-02-01,"PCE excluding food and energy",2.13
"310",2012-02-01,"Gross domestic product (GDP)",1.6
"311",2012-02-02,"Unemployment rate",8.3
"312",2012-02-02,"Federal funds rate",0.12
"313",2012-02-02,"Personal consumption expenditures (PCE)",2.63
"314",2012-02-02,"PCE excluding food and energy",2.13
"315",2012-02-02,"Gross domestic product (GDP)",1.6
"316",2012-02-03,"Unemployment rate",8.3
"317",2012-02-03,"Federal funds rate",0.12
"318",2012-02-03,"Personal consumption expenditures (PCE)",2.63
"319",2012-02-03,"PCE excluding food and energy",2.13
"320",2012-02-03,"Gross domestic product (GDP)",1.6
"321",2012-02-04,"Unemployment rate",8.3
"322",2012-02-04,"Federal funds rate",0.12
"323",2012-02-04,"Personal consumption expenditures (PCE)",2.63
"324",2012-02-04,"PCE excluding food and energy",2.13
"325",2012-02-04,"Gross domestic product (GDP)",1.6
"326",2012-02-05,"Unemployment rate",8.3
"327",2012-02-05,"Federal funds rate",0.12
"328",2012-02-05,"Personal consumption expenditures (PCE)",2.63
"329",2012-02-05,"PCE excluding food and energy",2.13
"330",2012-02-05,"Gross domestic product (GDP)",1.6
"331",2012-02-06,"Unemployment rate",8.3
"332",2012-02-06,"Federal funds rate",0.12
"333",2012-02-06,"Personal consumption expenditures (PCE)",2.63
"334",2012-02-06,"PCE excluding food and energy",2.13
"335",2012-02-06,"Gross domestic product (GDP)",1.6
"336",2012-02-07,"Unemployment rate",8.3
"337",2012-02-07,"Federal funds rate",0.12
"338",2012-02-07,"Personal consumption expenditures (PCE)",2.63
"339",2012-02-07,"PCE excluding food and energy",2.13
"340",2012-02-07,"Gross domestic product (GDP)",1.6
"341",2012-02-08,"Unemployment rate",8.3
"342",2012-02-08,"Federal funds rate",0.12
"343",2012-02-08,"Personal consumption expenditures (PCE)",2.63
"344",2012-02-08,"PCE excluding food and energy",2.13
"345",2012-02-08,"Gross domestic product (GDP)",1.6
"346",2012-02-09,"Unemployment rate",8.3
"347",2012-02-09,"Federal funds rate",0.12
"348",2012-02-09,"Personal consumption expenditures (PCE)",2.63
"349",2012-02-09,"PCE excluding food and energy",2.13
"350",2012-02-09,"Gross domestic product (GDP)",1.6
"351",2012-02-10,"Unemployment rate",8.3
"352",2012-02-10,"Federal funds rate",0.12
"353",2012-02-10,"Personal consumption expenditures (PCE)",2.63
"354",2012-02-10,"PCE excluding food and energy",2.13
"355",2012-02-10,"Gross domestic product (GDP)",1.6
"356",2012-02-11,"Unemployment rate",8.3
"357",2012-02-11,"Federal funds rate",0.12
"358",2012-02-11,"Personal consumption expenditures (PCE)",2.63
"359",2012-02-11,"PCE excluding food and energy",2.13
"360",2012-02-11,"Gross domestic product (GDP)",1.6
"361",2012-02-12,"Unemployment rate",8.3
"362",2012-02-12,"Federal funds rate",0.12
"363",2012-02-12,"Personal consumption expenditures (PCE)",2.63
"364",2012-02-12,"PCE excluding food and energy",2.13
"365",2012-02-12,"Gross domestic product (GDP)",1.6
"366",2012-02-13,"Unemployment rate",8.3
"367",2012-02-13,"Federal funds rate",0.12
"368",2012-02-13,"Personal consumption expenditures (PCE)",2.63
"369",2012-02-13,"PCE excluding food and energy",2.13
"370",2012-02-13,"Gross domestic product (GDP)",1.6
"371",2012-02-14,"Unemployment rate",8.3
"372",2012-02-14,"Federal funds rate",0.12
"373",2012-02-14,"Personal consumption expenditures (PCE)",2.63
"374",2012-02-14,"PCE excluding food and energy",2.13
"375",2012-02-14,"Gross domestic product (GDP)",1.6
"376",2012-02-15,"Unemployment rate",8.3
"377",2012-02-15,"Federal funds rate",0.12
"378",2012-02-15,"Personal consumption expenditures (PCE)",2.63
"379",2012-02-15,"PCE excluding food and energy",2.13
"380",2012-02-15,"Gross domestic product (GDP)",1.6
"381",2012-02-16,"Unemployment rate",8.3
"382",2012-02-16,"Federal funds rate",0.12
"383",2012-02-16,"Personal consumption expenditures (PCE)",2.63
"384",2012-02-16,"PCE excluding food and energy",2.13
"385",2012-02-16,"Gross domestic product (GDP)",1.6
"386",2012-02-17,"Unemployment rate",8.3
"387",2012-02-17,"Federal funds rate",0.12
"388",2012-02-17,"Personal consumption expenditures (PCE)",2.63
"389",2012-02-17,"PCE excluding food and energy",2.13
"390",2012-02-17,"Gross domestic product (GDP)",1.6
"391",2012-02-18,"Unemployment rate",8.3
"392",2012-02-18,"Federal funds rate",0.12
"393",2012-02-18,"Personal consumption expenditures (PCE)",2.63
"394",2012-02-18,"PCE excluding food and energy",2.13
"395",2012-02-18,"Gross domestic product (GDP)",1.6
"396",2012-02-19,"Unemployment rate",8.3
"397",2012-02-19,"Federal funds rate",0.12
"398",2012-02-19,"Personal consumption expenditures (PCE)",2.63
"399",2012-02-19,"PCE excluding food and energy",2.13
"400",2012-02-19,"Gross domestic product (GDP)",1.6
"401",2012-02-20,"Unemployment rate",8.3
"402",2012-02-20,"Federal funds rate",0.12
"403",2012-02-20,"Personal consumption expenditures (PCE)",2.63
"404",2012-02-20,"PCE excluding food and energy",2.13
"405",2012-02-20,"Gross domestic product (GDP)",1.6
"406",2012-02-21,"Unemployment rate",8.3
"407",2012-02-21,"Federal funds rate",0.12
"408",2012-02-21,"Personal consumption expenditures (PCE)",2.63
"409",2012-02-21,"PCE excluding food and energy",2.13
"410",2012-02-21,"Gross domestic product (GDP)",1.6
"411",2012-02-22,"Unemployment rate",8.3
"412",2012-02-22,"Federal funds rate",0.12
"413",2012-02-22,"Personal consumption expenditures (PCE)",2.63
"414",2012-02-22,"PCE excluding food and energy",2.13
"415",2012-02-22,"Gross domestic product (GDP)",1.6
"416",2012-02-23,"Unemployment rate",8.3
"417",2012-02-23,"Federal funds rate",0.12
"418",2012-02-23,"Personal consumption expenditures (PCE)",2.63
"419",2012-02-23,"PCE excluding food and energy",2.13
"420",2012-02-23,"Gross domestic product (GDP)",1.6
"421",2012-02-24,"Unemployment rate",8.3
"422",2012-02-24,"Federal funds rate",0.12
"423",2012-02-24,"Personal consumption expenditures (PCE)",2.63
"424",2012-02-24,"PCE excluding food and energy",2.13
"425",2012-02-24,"Gross domestic product (GDP)",1.6
"426",2012-02-25,"Unemployment rate",8.3
"427",2012-02-25,"Federal funds rate",0.12
"428",2012-02-25,"Personal consumption expenditures (PCE)",2.63
"429",2012-02-25,"PCE excluding food and energy",2.13
"430",2012-02-25,"Gross domestic product (GDP)",1.6
"431",2012-02-26,"Unemployment rate",8.3
"432",2012-02-26,"Federal funds rate",0.12
"433",2012-02-26,"Personal consumption expenditures (PCE)",2.63
"434",2012-02-26,"PCE excluding food and energy",2.13
"435",2012-02-26,"Gross domestic product (GDP)",1.6
"436",2012-02-27,"Unemployment rate",8.3
"437",2012-02-27,"Federal funds rate",0.12
"438",2012-02-27,"Personal consumption expenditures (PCE)",2.63
"439",2012-02-27,"PCE excluding food and energy",2.13
"440",2012-02-27,"Gross domestic product (GDP)",1.6
"441",2012-02-28,"Unemployment rate",8.3
"442",2012-02-28,"Federal funds rate",0.12
"443",2012-02-28,"Personal consumption expenditures (PCE)",2.63
"444",2012-02-28,"PCE excluding food and energy",2.13
"445",2012-02-28,"Gross domestic product (GDP)",1.6
"446",2012-02-29,"Unemployment rate",8.3
"447",2012-02-29,"Federal funds rate",0.12
"448",2012-02-29,"Personal consumption expenditures (PCE)",2.58
"449",2012-02-29,"PCE excluding food and energy",2.1
"450",2012-02-29,"Gross domestic product (GDP)",1.6
"451",2012-03-01,"Unemployment rate",8.3
"452",2012-03-01,"Federal funds rate",0.12
"453",2012-03-01,"Personal consumption expenditures (PCE)",2.58
"454",2012-03-01,"PCE excluding food and energy",2.1
"455",2012-03-01,"Gross domestic product (GDP)",1.6
"456",2012-03-02,"Unemployment rate",8.3
"457",2012-03-02,"Federal funds rate",0.12
"458",2012-03-02,"Personal consumption expenditures (PCE)",2.58
"459",2012-03-02,"PCE excluding food and energy",2.1
"460",2012-03-02,"Gross domestic product (GDP)",1.6
"461",2012-03-03,"Unemployment rate",8.3
"462",2012-03-03,"Federal funds rate",0.12
"463",2012-03-03,"Personal consumption expenditures (PCE)",2.58
"464",2012-03-03,"PCE excluding food and energy",2.1
"465",2012-03-03,"Gross domestic product (GDP)",1.6
"466",2012-03-04,"Unemployment rate",8.3
"467",2012-03-04,"Federal funds rate",0.12
"468",2012-03-04,"Personal consumption expenditures (PCE)",2.58
"469",2012-03-04,"PCE excluding food and energy",2.1
"470",2012-03-04,"Gross domestic product (GDP)",1.6
"471",2012-03-05,"Unemployment rate",8.3
"472",2012-03-05,"Federal funds rate",0.12
"473",2012-03-05,"Personal consumption expenditures (PCE)",2.58
"474",2012-03-05,"PCE excluding food and energy",2.1
"475",2012-03-05,"Gross domestic product (GDP)",1.6
"476",2012-03-06,"Unemployment rate",8.3
"477",2012-03-06,"Federal funds rate",0.12
"478",2012-03-06,"Personal consumption expenditures (PCE)",2.58
"479",2012-03-06,"PCE excluding food and energy",2.1
"480",2012-03-06,"Gross domestic product (GDP)",1.6
"481",2012-03-07,"Unemployment rate",8.3
"482",2012-03-07,"Federal funds rate",0.12
"483",2012-03-07,"Personal consumption expenditures (PCE)",2.58
"484",2012-03-07,"PCE excluding food and energy",2.1
"485",2012-03-07,"Gross domestic product (GDP)",1.6
"486",2012-03-08,"Unemployment rate",8.3
"487",2012-03-08,"Federal funds rate",0.12
"488",2012-03-08,"Personal consumption expenditures (PCE)",2.58
"489",2012-03-08,"PCE excluding food and energy",2.1
"490",2012-03-08,"Gross domestic product (GDP)",1.6
"491",2012-03-09,"Unemployment rate",8.3
"492",2012-03-09,"Federal funds rate",0.12
"493",2012-03-09,"Personal consumption expenditures (PCE)",2.58
"494",2012-03-09,"PCE excluding food and energy",2.1
"495",2012-03-09,"Gross domestic product (GDP)",1.6
"496",2012-03-10,"Unemployment rate",8.3
"497",2012-03-10,"Federal funds rate",0.12
"498",2012-03-10,"Personal consumption expenditures (PCE)",2.58
"499",2012-03-10,"PCE excluding food and energy",2.1
"500",2012-03-10,"Gross domestic product (GDP)",1.6
"501",2012-03-11,"Unemployment rate",8.3
"502",2012-03-11,"Federal funds rate",0.12
"503",2012-03-11,"Personal consumption expenditures (PCE)",2.58
"504",2012-03-11,"PCE excluding food and energy",2.1
"505",2012-03-11,"Gross domestic product (GDP)",1.6
"506",2012-03-12,"Unemployment rate",8.3
"507",2012-03-12,"Federal funds rate",0.12
"508",2012-03-12,"Personal consumption expenditures (PCE)",2.58
"509",2012-03-12,"PCE excluding food and energy",2.1
"510",2012-03-12,"Gross domestic product (GDP)",1.6
"511",2012-03-13,"Unemployment rate",8.3
"512",2012-03-13,"Federal funds rate",0.12
"513",2012-03-13,"Personal consumption expenditures (PCE)",2.58
"514",2012-03-13,"PCE excluding food and energy",2.1
"515",2012-03-13,"Gross domestic product (GDP)",1.6
"516",2012-03-14,"Unemployment rate",8.3
"517",2012-03-14,"Federal funds rate",0.12
"518",2012-03-14,"Personal consumption expenditures (PCE)",2.58
"519",2012-03-14,"PCE excluding food and energy",2.1
"520",2012-03-14,"Gross domestic product (GDP)",1.6
"521",2012-03-15,"Unemployment rate",8.3
"522",2012-03-15,"Federal funds rate",0.12
"523",2012-03-15,"Personal consumption expenditures (PCE)",2.58
"524",2012-03-15,"PCE excluding food and energy",2.1
"525",2012-03-15,"Gross domestic product (GDP)",1.6
"526",2012-03-16,"Unemployment rate",8.3
"527",2012-03-16,"Federal funds rate",0.12
"528",2012-03-16,"Personal consumption expenditures (PCE)",2.58
"529",2012-03-16,"PCE excluding food and energy",2.1
"530",2012-03-16,"Gross domestic product (GDP)",1.6
"531",2012-03-17,"Unemployment rate",8.3
"532",2012-03-17,"Federal funds rate",0.12
"533",2012-03-17,"Personal consumption expenditures (PCE)",2.58
"534",2012-03-17,"PCE excluding food and energy",2.1
"535",2012-03-17,"Gross domestic product (GDP)",1.6
"536",2012-03-18,"Unemployment rate",8.3
"537",2012-03-18,"Federal funds rate",0.12
"538",2012-03-18,"Personal consumption expenditures (PCE)",2.58
