"variable","des","forecast_period","values","date"
"55","PCE inflation","Central Tendency 2","2022","1.6-1.8",20200610
"56","PCE inflation","Central Tendency 2","Longer run","2.0",20200610
"57","PCE inflation","Range 3","2020","0.5-1.2",20200610
"58","PCE inflation","Range 3","2021","1.1-2.0",20200610
"59","PCE inflation","Range 3","2022","1.4-2.2",20200610
"60","PCE inflation","Range 3","Longer run","2.0",20200610
"61","December projection","Median 1","2020","1.9",20200610
"62","December projection","Median 1","2021","2.0",20200610
"63","December projection","Median 1","2022","2.0",20200610
"64","December projection","Median 1","Longer run","2.0",20200610
"65","December projection","Central Tendency 2","2020","1.8-1.9",20200610
"66","December projection","Central Tendency 2","2021","2.0-2.1",20200610
"67","December projection","Central Tendency 2","2022","2.0-2.2",20200610
"68","December projection","Central Tendency 2","Longer run","2.0",20200610
"69","December projection","Range 3","2020","1.7-2.1",20200610
"70","December projection","Range 3","2021","1.8-2.3",20200610
"71","December projection","Range 3","2022","1.8-2.2",20200610
"72","December projection","Range 3","Longer run","2.0",20200610
"73","Core PCE inflation 4","Median 1","2020","1.0",20200610
"74","Core PCE inflation 4","Median 1","2021","1.5",20200610
"75","Core PCE inflation 4","Median 1","2022","1.7",20200610
"76","Core PCE inflation 4","Median 1","Longer run","",20200610
"77","Core PCE inflation 4","Central Tendency 2","2020","0.9-1.1",20200610
"78","Core PCE inflation 4","Central Tendency 2","2021","1.4-1.7",20200610
"79","Core PCE inflation 4","Central Tendency 2","2022","1.6-1.8",20200610
"80","Core PCE inflation 4","Central Tendency 2","Longer run","",20200610
"81","Core PCE inflation 4","Range 3","2020","0.7-1.3",20200610
"82","Core PCE inflation 4","Range 3","2021","1.2-2.0",20200610
"83","Core PCE inflation 4","Range 3","2022","1.2-2.2",20200610
"84","Core PCE inflation 4","Range 3","Longer run","",20200610
"85","December projection","Median 1","2020","1.9",20200610
"86","December projection","Median 1","2021","2.0",20200610
"87","December projection","Median 1","2022","2.0",20200610
"88","December projection","Median 1","Longer run","",20200610
"89","December projection","Central Tendency 2","2020","1.9-2.0",20200610
"90","December projection","Central Tendency 2","2021","2.0-2.1",20200610
"91","December projection","Central Tendency 2","2022","2.0-2.2",20200610
"92","December projection","Central Tendency 2","Longer run","",20200610
"93","December projection","Range 3","2020","1.7-2.1",20200610
"94","December projection","Range 3","2021","1.8-2.3",20200610
"95","December projection","Range 3","2022","1.8-2.2",20200610
"96","December projection","Range 3","Longer run","",20200610
"97","Memo: Projected appropriate policy path","Median 1","2020","Memo: Projected appropriate policy path",20200610
"98","Memo: Projected appropriate policy path","Median 1","2021","Memo: Projected appropriate policy path",20200610
"99","Memo: Projected appropriate policy path","Median 1","2022","Memo: Projected appropriate policy path",20200610
"100","Memo: Projected appropriate policy path","Median 1","Longer run","Memo: Projected appropriate policy path",20200610
"101","Memo: Projected appropriate policy path","Central Tendency 2","2020","Memo: Projected appropriate policy path",20200610
"102","Memo: Projected appropriate policy path","Central Tendency 2","2021","Memo: Projected appropriate policy path",20200610
"103","Memo: Projected appropriate policy path","Central Tendency 2","2022","Memo: Projected appropriate policy path",20200610
"104","Memo: Projected appropriate policy path","Central Tendency 2","Longer run","Memo: Projected appropriate policy path",20200610
"105","Memo: Projected appropriate policy path","Range 3","2020","Memo: Projected appropriate policy path",20200610
"106","Memo: Projected appropriate policy path","Range 3","2021","Memo: Projected appropriate policy path",20200610
"107","Memo: Projected appropriate policy path","Range 3","2022","Memo: Projected appropriate policy path",20200610
"108","Memo: Projected appropriate policy path","Range 3","Longer run","Memo: Projected appropriate policy path",20200610
"109","Federal funds rate","Median 1","2020","0.1",20200610
"110","Federal funds rate","Median 1","2021","0.1",20200610
"111","Federal funds rate","Median 1","2022","0.1",20200610
"112","Federal funds rate","Median 1","Longer run","2.5",20200610
"113","Federal funds rate","Central Tendency 2","2020","0.1",20200610
"114","Federal funds rate","Central Tendency 2","2021","0.1",20200610
"115","Federal funds rate","Central Tendency 2","2022","0.1",20200610
"116","Federal funds rate","Central Tendency 2","Longer run","2.3-2.5",20200610
"117","Federal funds rate","Range 3","2020","0.1",20200610
"118","Federal funds rate","Range 3","2021","0.1",20200610
"119","Federal funds rate","Range 3","2022","0.1-1.1",20200610
"120","Federal funds rate","Range 3","Longer run","2.0-3.0",20200610
"121","December projection","Median 1","2020","1.6",20200610
"122","December projection","Median 1","2021","1.9",20200610
"123","December projection","Median 1","2022","2.1",20200610
"124","December projection","Median 1","Longer run","2.5",20200610
"125","December projection","Central Tendency 2","2020","1.6-1.9",20200610
"126","December projection","Central Tendency 2","2021","1.6-2.1",20200610
"127","December projection","Central Tendency 2","2022","1.9-2.6",20200610
"128","December projection","Central Tendency 2","Longer run","2.4-2.8",20200610
"129","December projection","Range 3","2020","1.6-1.9",20200610
"130","December projection","Range 3","2021","1.6-2.4",20200610
"131","December projection","Range 3","2022","1.6-2.9",20200610
"132","December projection","Range 3","Longer run","2.0-3.3",20200610
"133","Change in real GDP","Median1","2020","-3.7",20200916
"134","Change in real GDP","Median1","2021","4.0",20200916
"135","Change in real GDP","Median1","2022","3.0",20200916
"136","Change in real GDP","Median1","2023","2.5",20200916
"137","Change in real GDP","Median1","Longer run","1.9",20200916
"138","Change in real GDP","Central Tendency2","2020","-4.0–-3.0",20200916
"139","Change in real GDP","Central Tendency2","2021","3.6–4.7",20200916
"140","Change in real GDP","Central Tendency2","2022","2.5–3.3",20200916
"141","Change in real GDP","Central Tendency2","2023","2.4–3.0",20200916
"142","Change in real GDP","Central Tendency2","Longer run","1.7–2.0",20200916
"143","Change in real GDP","Range3","2020","-5.5–1.0",20200916
"144","Change in real GDP","Range3","2021","0.0–5.5",20200916
"145","Change in real GDP","Range3","2022","2.0–4.5",20200916
"146","Change in real GDP","Range3","2023","2.0–4.0",20200916
"147","Change in real GDP","Range3","Longer run","1.6–2.2",20200916
"148","June projection","Median1","2020","-6.5",20200916
"149","June projection","Median1","2021","5.0",20200916
"150","June projection","Median1","2022","3.5",20200916
"151","June projection","Median1","2023","",20200916
"152","June projection","Median1","Longer run","1.8",20200916
"153","June projection","Central Tendency2","2020","-7.6–-5.5",20200916
"154","June projection","Central Tendency2","2021","4.5–6.0",20200916
"155","June projection","Central Tendency2","2022","3.0–4.5",20200916
"156","June projection","Central Tendency2","2023","",20200916
"157","June projection","Central Tendency2","Longer run","1.7–2.0",20200916
"158","June projection","Range3","2020","-10.0–-4.2",20200916
"159","June projection","Range3","2021","-1.0–7.0",20200916
"160","June projection","Range3","2022","2.0–6.0",20200916
"161","June projection","Range3","2023","",20200916
"162","June projection","Range3","Longer run","1.6–2.2",20200916
"163","Unemployment rate","Median1","2020","7.6",20200916
"164","Unemployment rate","Median1","2021","5.5",20200916
"165","Unemployment rate","Median1","2022","4.6",20200916
"166","Unemployment rate","Median1","2023","4.0",20200916
"167","Unemployment rate","Median1","Longer run","4.1",20200916
"168","Unemployment rate","Central Tendency2","2020","7.0–8.0",20200916
"169","Unemployment rate","Central Tendency2","2021","5.0–6.2",20200916
"170","Unemployment rate","Central Tendency2","2022","4.0–5.0",20200916
"171","Unemployment rate","Central Tendency2","2023","3.5–4.4",20200916
"172","Unemployment rate","Central Tendency2","Longer run","3.9–4.3",20200916
"173","Unemployment rate","Range3","2020","6.5–8.0",20200916
"174","Unemployment rate","Range3","2021","4.0–8.0",20200916
"175","Unemployment rate","Range3","2022","3.5–7.5",20200916
"176","Unemployment rate","Range3","2023","3.5–6.0",20200916
"177","Unemployment rate","Range3","Longer run","3.5–4.7",20200916
"178","June projection","Median1","2020","9.3",20200916
"179","June projection","Median1","2021","6.5",20200916
"180","June projection","Median1","2022","5.5",20200916
"181","June projection","Median1","2023","",20200916
"182","June projection","Median1","Longer run","4.1",20200916
"183","June projection","Central Tendency2","2020","9.0–10.0",20200916
"184","June projection","Central Tendency2","2021","5.9–7.5",20200916
"185","June projection","Central Tendency2","2022","4.8–6.1",20200916
"186","June projection","Central Tendency2","2023","",20200916
"187","June projection","Central Tendency2","Longer run","4.0–4.3",20200916
"188","June projection","Range3","2020","7.0–14.0",20200916
"189","June projection","Range3","2021","4.5–12.0",20200916
"190","June projection","Range3","2022","4.0–8.0",20200916
"191","June projection","Range3","2023","",20200916
"192","June projection","Range3","Longer run","3.5–4.7",20200916
"193","PCE inflation","Median1","2020","1.2",20200916
"194","PCE inflation","Median1","2021","1.7",20200916
"195","PCE inflation","Median1","2022","1.8",20200916
"196","PCE inflation","Median1","2023","2.0",20200916
"197","PCE inflation","Median1","Longer run","2.0",20200916
"198","PCE inflation","Central Tendency2","2020","1.1–1.3",20200916
"199","PCE inflation","Central Tendency2","2021","1.6–1.9",20200916
"200","PCE inflation","Central Tendency2","2022","1.7–1.9",20200916
"201","PCE inflation","Central Tendency2","2023","1.9–2.0",20200916
"202","PCE inflation","Central Tendency2","Longer run","2.0",20200916
"203","PCE inflation","Range3","2020","1.0–1.5",20200916
"204","PCE inflation","Range3","2021","1.3–2.4",20200916
"205","PCE inflation","Range3","2022","1.5–2.2",20200916
"206","PCE inflation","Range3","2023","1.7–2.1",20200916
"207","PCE inflation","Range3","Longer run","2.0",20200916
"208","June projection","Median1","2020",".8",20200916
"209","June projection","Median1","2021","1.6",20200916
"210","June projection","Median1","2022","1.7",20200916
"211","June projection","Median1","2023","",20200916
"212","June projection","Median1","Longer run","2.0",20200916
"213","June projection","Central Tendency2","2020","0.6–1.0",20200916
"214","June projection","Central Tendency2","2021","1.4–1.7",20200916
"215","June projection","Central Tendency2","2022","1.6–1.8",20200916
"216","June projection","Central Tendency2","2023","",20200916
"217","June projection","Central Tendency2","Longer run","2.0",20200916
"218","June projection","Range3","2020","0.5–1.2",20200916
"219","June projection","Range3","2021","1.1–2.0",20200916
"220","June projection","Range3","2022","1.4–2.2",20200916
"221","June projection","Range3","2023","",20200916
"222","June projection","Range3","Longer run","2.0",20200916
"223","Core PCE inflation4","Median1","2020","1.5",20200916
"224","Core PCE inflation4","Median1","2021","1.7",20200916
"225","Core PCE inflation4","Median1","2022","1.8",20200916
"226","Core PCE inflation4","Median1","2023","2.0",20200916
"227","Core PCE inflation4","Median1","Longer run","",20200916
"228","Core PCE inflation4","Central Tendency2","2020","1.3–1.5",20200916
"229","Core PCE inflation4","Central Tendency2","2021","1.6–1.8",20200916
"230","Core PCE inflation4","Central Tendency2","2022","1.7–1.9",20200916
"231","Core PCE inflation4","Central Tendency2","2023","1.9–2.0",20200916
"232","Core PCE inflation4","Central Tendency2","Longer run","",20200916
"233","Core PCE inflation4","Range3","2020","1.2–1.6",20200916
"234","Core PCE inflation4","Range3","2021","1.5–2.4",20200916
"235","Core PCE inflation4","Range3","2022","1.6–2.2",20200916
"236","Core PCE inflation4","Range3","2023","1.7–2.1",20200916
"237","Core PCE inflation4","Range3","Longer run","",20200916
"238","June projection","Median1","2020","1.0",20200916
"239","June projection","Median1","2021","1.5",20200916
"240","June projection","Median1","2022","1.7",20200916
"241","June projection","Median1","2023","",20200916
"242","June projection","Median1","Longer run","",20200916
"243","June projection","Central Tendency2","2020","0.9–1.1",20200916
"244","June projection","Central Tendency2","2021","1.4–1.7",20200916
"245","June projection","Central Tendency2","2022","1.6–1.8",20200916
"246","June projection","Central Tendency2","2023","",20200916
"247","June projection","Central Tendency2","Longer run","",20200916
"248","June projection","Range3","2020","0.7–1.3",20200916
"249","June projection","Range3","2021","1.2–2.0",20200916
"250","June projection","Range3","2022","1.2–2.2",20200916
"251","June projection","Range3","2023","",20200916
"252","June projection","Range3","Longer run","",20200916
"253","Memo: Projected appropriate policy path","Median1","2020","Memo: Projected appropriate policy path",20200916
"254","Memo: Projected appropriate policy path","Median1","2021","Memo: Projected appropriate policy path",20200916
"255","Memo: Projected appropriate policy path","Median1","2022","Memo: Projected appropriate policy path",20200916
"256","Memo: Projected appropriate policy path","Median1","2023","Memo: Projected appropriate policy path",20200916
"257","Memo: Projected appropriate policy path","Median1","Longer run","Memo: Projected appropriate policy path",20200916
"258","Memo: Projected appropriate policy path","Central Tendency2","2020","Memo: Projected appropriate policy path",20200916
"259","Memo: Projected appropriate policy path","Central Tendency2","2021","Memo: Projected appropriate policy path",20200916
"260","Memo: Projected appropriate policy path","Central Tendency2","2022","Memo: Projected appropriate policy path",20200916
"261","Memo: Projected appropriate policy path","Central Tendency2","2023","Memo: Projected appropriate policy path",20200916
"262","Memo: Projected appropriate policy path","Central Tendency2","Longer run","Memo: Projected appropriate policy path",20200916
"263","Memo: Projected appropriate policy path","Range3","2020","Memo: Projected appropriate policy path",20200916
"264","Memo: Projected appropriate policy path","Range3","2021","Memo: Projected appropriate policy path",20200916
"265","Memo: Projected appropriate policy path","Range3","2022","Memo: Projected appropriate policy path",20200916
"266","Memo: Projected appropriate policy path","Range3","2023","Memo: Projected appropriate policy path",20200916
"267","Memo: Projected appropriate policy path","Range3","Longer run","Memo: Projected appropriate policy path",20200916
"268","Federal funds rate","Median1","2020",".1",20200916
"269","Federal funds rate","Median1","2021",".1",20200916
"270","Federal funds rate","Median1","2022",".1",20200916
"271","Federal funds rate","Median1","2023",".1",20200916
"272","Federal funds rate","Median1","Longer run","2.5",20200916
"273","Federal funds rate","Central Tendency2","2020","0.1",20200916
"274","Federal funds rate","Central Tendency2","2021","0.1",20200916
"275","Federal funds rate","Central Tendency2","2022","0.1",20200916
"276","Federal funds rate","Central Tendency2","2023","0.1–0.4",20200916
"277","Federal funds rate","Central Tendency2","Longer run","2.3–2.5",20200916
"278","Federal funds rate","Range3","2020","0.1",20200916
"279","Federal funds rate","Range3","2021","0.1",20200916
"280","Federal funds rate","Range3","2022","0.1–0.6",20200916
"281","Federal funds rate","Range3","2023","0.1–1.4",20200916
"282","Federal funds rate","Range3","Longer run","2.0–3.0",20200916
"283","June projection","Median1","2020",".1",20200916
"284","June projection","Median1","2021",".1",20200916
"285","June projection","Median1","2022",".1",20200916
"286","June projection","Median1","2023","",20200916
"287","June projection","Median1","Longer run","2.5",20200916
"288","June projection","Central Tendency2","2020","0.1",20200916
"289","June projection","Central Tendency2","2021","0.1",20200916
"290","June projection","Central Tendency2","2022","0.1",20200916
"291","June projection","Central Tendency2","2023","",20200916
"292","June projection","Central Tendency2","Longer run","2.3–2.5",20200916
"293","June projection","Range3","2020","0.1",20200916
"294","June projection","Range3","2021","0.1",20200916
"295","June projection","Range3","2022","0.1–1.1",20200916
"296","June projection","Range3","2023","",20200916
"297","June projection","Range3","Longer run","2.0–3.0",20200916
"298","Change in real GDP","Median 1","2020","-2.4",20201216
"299","Change in real GDP","Median 1","2021","4.2",20201216
"300","Change in real GDP","Median 1","2022","3.2",20201216
"301","Change in real GDP","Median 1","2023","2.4",20201216
"302","Change in real GDP","Median 1","Longer run","1.8",20201216
"303","Change in real GDP","Central Tendency 2","2020","-2.5--2.2",20201216
"304","Change in real GDP","Central Tendency 2","2021","3.7-5.0",20201216
"305","Change in real GDP","Central Tendency 2","2022","3.0-3.5",20201216
"306","Change in real GDP","Central Tendency 2","2023","2.2-2.7",20201216
"307","Change in real GDP","Central Tendency 2","Longer run","1.7-2.0",20201216
"308","Change in real GDP","Range 3","2020","-3.3--1.0",20201216
"309","Change in real GDP","Range 3","2021","0.5-5.5",20201216
"310","Change in real GDP","Range 3","2022","2.5-4.0",20201216
"311","Change in real GDP","Range 3","2023","2.0-3.5",20201216
"312","Change in real GDP","Range 3","Longer run","1.6-2.2",20201216
"313","September projection","Median 1","2020","-3.7",20201216
"314","September projection","Median 1","2021","4.0",20201216
"315","September projection","Median 1","2022","3.0",20201216
"316","September projection","Median 1","2023","2.5",20201216
"317","September projection","Median 1","Longer run","1.9",20201216
"318","September projection","Central Tendency 2","2020","-4.0--3.0",20201216
"319","September projection","Central Tendency 2","2021","3.6-4.7",20201216
"320","September projection","Central Tendency 2","2022","2.5-3.3",20201216
"321","September projection","Central Tendency 2","2023","2.4-3.0",20201216
"322","September projection","Central Tendency 2","Longer run","1.7-2.0",20201216
"323","September projection","Range 3","2020","-5.5-1.0",20201216
"324","September projection","Range 3","2021","0.0-5.5",20201216
"325","September projection","Range 3","2022","2.0-4.5",20201216
"326","September projection","Range 3","2023","2.0-4.0",20201216
"327","September projection","Range 3","Longer run","1.6-2.2",20201216
"328","Unemployment rate","Median 1","2020","6.7",20201216
"329","Unemployment rate","Median 1","2021","5.0",20201216
"330","Unemployment rate","Median 1","2022","4.2",20201216
"331","Unemployment rate","Median 1","2023","3.7",20201216
"332","Unemployment rate","Median 1","Longer run","4.1",20201216
"333","Unemployment rate","Central Tendency 2","2020","6.7-6.8",20201216
"334","Unemployment rate","Central Tendency 2","2021","4.7-5.4",20201216
"335","Unemployment rate","Central Tendency 2","2022","3.8-4.6",20201216
"336","Unemployment rate","Central Tendency 2","2023","3.5-4.3",20201216
"337","Unemployment rate","Central Tendency 2","Longer run","3.9-4.3",20201216
"338","Unemployment rate","Range 3","2020","6.6-6.9",20201216
"339","Unemployment rate","Range 3","2021","4.0-6.8",20201216
"340","Unemployment rate","Range 3","2022","3.5-5.8",20201216
"341","Unemployment rate","Range 3","2023","3.3-5.0",20201216
"342","Unemployment rate","Range 3","Longer run","3.5-4.5",20201216
"343","September projection","Median 1","2020","7.6",20201216
"344","September projection","Median 1","2021","5.5",20201216
"345","September projection","Median 1","2022","4.6",20201216
"346","September projection","Median 1","2023","4.0",20201216
"347","September projection","Median 1","Longer run","4.1",20201216
"348","September projection","Central Tendency 2","2020","7.0-8.0",20201216
"349","September projection","Central Tendency 2","2021","5.0-6.2",20201216
"350","September projection","Central Tendency 2","2022","4.0-5.0",20201216
"351","September projection","Central Tendency 2","2023","3.5-4.4",20201216
"352","September projection","Central Tendency 2","Longer run","3.9-4.3",20201216
"353","September projection","Range 3","2020","6.5-8.0",20201216
"354","September projection","Range 3","2021","4.0-8.0",20201216
"355","September projection","Range 3","2022","3.5-7.5",20201216
"356","September projection","Range 3","2023","3.5-6.0",20201216
"357","September projection","Range 3","Longer run","3.5-4.7",20201216
"358","PCE inflation","Median 1","2020","1.2",20201216
"359","PCE inflation","Median 1","2021","1.8",20201216
"360","PCE inflation","Median 1","2022","1.9",20201216
"361","PCE inflation","Median 1","2023","2.0",20201216
"362","PCE inflation","Median 1","Longer run","2.0",20201216
"363","PCE inflation","Central Tendency 2","2020","1.2",20201216
"364","PCE inflation","Central Tendency 2","2021","1.7-1.9",20201216
"365","PCE inflation","Central Tendency 2","2022","1.8-2.0",20201216
"366","PCE inflation","Central Tendency 2","2023","1.9-2.1",20201216
"367","PCE inflation","Central Tendency 2","Longer run","2.0",20201216
"368","PCE inflation","Range 3","2020","1.1-1.4",20201216
"369","PCE inflation","Range 3","2021","1.2-2.3",20201216
"370","PCE inflation","Range 3","2022","1.5-2.2",20201216
"371","PCE inflation","Range 3","2023","1.7-2.2",20201216
"372","PCE inflation","Range 3","Longer run","2.0",20201216
"373","September projection","Median 1","2020","1.2",20201216
"374","September projection","Median 1","2021","1.7",20201216
"375","September projection","Median 1","2022","1.8",20201216
"376","September projection","Median 1","2023","2.0",20201216
"377","September projection","Median 1","Longer run","2.0",20201216
"378","September projection","Central Tendency 2","2020","1.1-1.3",20201216
"379","September projection","Central Tendency 2","2021","1.6-1.9",20201216
"380","September projection","Central Tendency 2","2022","1.7-1.9",20201216
"381","September projection","Central Tendency 2","2023","1.9-2.0",20201216
"382","September projection","Central Tendency 2","Longer run","2.0",20201216
"383","September projection","Range 3","2020","1.0-1.5",20201216
"384","September projection","Range 3","2021","1.3-2.4",20201216
"385","September projection","Range 3","2022","1.5-2.2",20201216
"386","September projection","Range 3","2023","1.7-2.1",20201216
"387","September projection","Range 3","Longer run","2.0",20201216
"388","Core PCE inflation 4","Median 1","2020","1.4",20201216
"389","Core PCE inflation 4","Median 1","2021","1.8",20201216
"390","Core PCE inflation 4","Median 1","2022","1.9",20201216
"391","Core PCE inflation 4","Median 1","2023","2.0",20201216
"392","Core PCE inflation 4","Median 1","Longer run","",20201216
"393","Core PCE inflation 4","Central Tendency 2","2020","1.4",20201216
"394","Core PCE inflation 4","Central Tendency 2","2021","1.7-1.8",20201216
"395","Core PCE inflation 4","Central Tendency 2","2022","1.8-2.0",20201216
"396","Core PCE inflation 4","Central Tendency 2","2023","1.9-2.1",20201216
"397","Core PCE inflation 4","Central Tendency 2","Longer run","",20201216
"398","Core PCE inflation 4","Range 3","2020","1.3-1.5",20201216
"399","Core PCE inflation 4","Range 3","2021","1.5-2.3",20201216
"400","Core PCE inflation 4","Range 3","2022","1.6-2.2",20201216
"401","Core PCE inflation 4","Range 3","2023","1.7-2.2",20201216
"402","Core PCE inflation 4","Range 3","Longer run","",20201216
"403","September projection","Median 1","2020","1.5",20201216
"404","September projection","Median 1","2021","1.7",20201216
"405","September projection","Median 1","2022","1.8",20201216
"406","September projection","Median 1","2023","2.0",20201216
"407","September projection","Median 1","Longer run","",20201216
"408","September projection","Central Tendency 2","2020","1.3-1.5",20201216
"409","September projection","Central Tendency 2","2021","1.6-1.8",20201216
"410","September projection","Central Tendency 2","2022","1.7-1.9",20201216
"411","September projection","Central Tendency 2","2023","1.9-2.0",20201216
"412","September projection","Central Tendency 2","Longer run","",20201216
"413","September projection","Range 3","2020","1.2-1.6",20201216
"414","September projection","Range 3","2021","1.5-2.4",20201216
"415","September projection","Range 3","2022","1.6-2.2",20201216
"416","September projection","Range 3","2023","1.7-2.1",20201216
"417","September projection","Range 3","Longer run","",20201216
"418","Memo: Projected appropriate policy path","Median 1","2020","Memo: Projected appropriate policy path",20201216
"419","Memo: Projected appropriate policy path","Median 1","2021","Memo: Projected appropriate policy path",20201216
"420","Memo: Projected appropriate policy path","Median 1","2022","Memo: Projected appropriate policy path",20201216
"421","Memo: Projected appropriate policy path","Median 1","2023","Memo: Projected appropriate policy path",20201216
"422","Memo: Projected appropriate policy path","Median 1","Longer run","Memo: Projected appropriate policy path",20201216
"423","Memo: Projected appropriate policy path","Central Tendency 2","2020","Memo: Projected appropriate policy path",20201216
"424","Memo: Projected appropriate policy path","Central Tendency 2","2021","Memo: Projected appropriate policy path",20201216
"425","Memo: Projected appropriate policy path","Central Tendency 2","2022","Memo: Projected appropriate policy path",20201216
"426","Memo: Projected appropriate policy path","Central Tendency 2","2023","Memo: Projected appropriate policy path",20201216
"427","Memo: Projected appropriate policy path","Central Tendency 2","Longer run","Memo: Projected appropriate policy path",20201216
"428","Memo: Projected appropriate policy path","Range 3","2020","Memo: Projected appropriate policy path",20201216
"429","Memo: Projected appropriate policy path","Range 3","2021","Memo: Projected appropriate policy path",20201216
"430","Memo: Projected appropriate policy path","Range 3","2022","Memo: Projected appropriate policy path",20201216
"431","Memo: Projected appropriate policy path","Range 3","2023","Memo: Projected appropriate policy path",20201216
"432","Memo: Projected appropriate policy path","Range 3","Longer run","Memo: Projected appropriate policy path",20201216
"433","Federal funds rate","Median 1","2020","0.1",20201216
"434","Federal funds rate","Median 1","2021","0.1",20201216
"435","Federal funds rate","Median 1","2022","0.1",20201216
"436","Federal funds rate","Median 1","2023","0.1",20201216
"437","Federal funds rate","Median 1","Longer run","2.5",20201216
"438","Federal funds rate","Central Tendency 2","2020","0.1",20201216
"439","Federal funds rate","Central Tendency 2","2021","0.1",20201216
"440","Federal funds rate","Central Tendency 2","2022","0.1",20201216
"441","Federal funds rate","Central Tendency 2","2023","0.1-0.4",20201216
"442","Federal funds rate","Central Tendency 2","Longer run","2.3-2.5",20201216
"443","Federal funds rate","Range 3","2020","0.1",20201216
"444","Federal funds rate","Range 3","2021","0.1",20201216
"445","Federal funds rate","Range 3","2022","0.1-0.4",20201216
"446","Federal funds rate","Range 3","2023","0.1-1.1",20201216
"447","Federal funds rate","Range 3","Longer run","2.0-3.0",20201216
"448","September projection","Median 1","2020","0.1",20201216
"449","September projection","Median 1","2021","0.1",20201216
"450","September projection","Median 1","2022","0.1",20201216
"451","September projection","Median 1","2023","0.1",20201216
"452","September projection","Median 1","Longer run","2.5",20201216
"453","September projection","Central Tendency 2","2020","0.1",20201216
"454","September projection","Central Tendency 2","2021","0.1",20201216
"455","September projection","Central Tendency 2","2022","0.1",20201216
"456","September projection","Central Tendency 2","2023","0.1-0.4",20201216
"457","September projection","Central Tendency 2","Longer run","2.3-2.5",20201216
"458","September projection","Range 3","2020","0.1",20201216
"459","September projection","Range 3","2021","0.1",20201216
"460","September projection","Range 3","2022","0.1-0.6",20201216
"461","September projection","Range 3","2023","0.1-1.4",20201216
"462","September projection","Range 3","Longer run","2.0-3.0",20201216
"463","Change in real GDP","Median1","2019","2.1",20190320
"464","Change in real GDP","Median1","2020","1.9",20190320
